https://www.chicagotribune.com/news/ct-red-light-camera-ticket-spikes-met-20140717-story.html
multa_id,fecha_hora,matricula,tipo_placa,estado_placa,direccion_camara
7000634986,2007-01-01 00:02:00,Y301669,PAS,IL,1900 N ASHLAND AVE
7000634946,2007-01-01 00:03:00,4703TX,TXI,IL,1600 W CORTLAND ST
7000634987,2007-01-01 00:14:00,9125630,PAS,IL,1900 N ASHLAND AVE
7000634926,2007-01-01 00:30:00,220H070,TMP,IL,2400 N KEDZIE AVE
7000635682,2007-01-01 00:43:00,4875778,PAS,IL,848 W 87TH STREET
7000634948,2007-01-01 00:45:00,VHH543,PAS,IL,2000 W FULLERTON AVE
7000634949,2007-01-01 00:49:00,989TX,TXI,IL,800 W DIVISION
7000635155,2007-01-01 00:51:00,9870771,PAS,IL,1 E 63RD ST
7000634960,2007-01-01 00:53:00,6001595,PAS,IL,2000 W FULLERTON AVE
7000634971,2007-01-01 00:55:00,8623536,PAS,IL,11100 S HALSTED ST
7000634952,2007-01-01 00:56:00,8600648,PAS,IL,4700 S WESTERN AVENUE
7000634951,2007-01-01 00:57:00,6712986,PAS,IL,4800 W FULLERTON AVE
7000634992,2007-01-01 00:57:00,9213586,PAS,IL,11900 S HALSTED
7000635040,2007-01-01 00:57:00,2400132,PAS,IL,4000 W 55TH ST
7000634954,2007-01-01 01:01:00,G123875,PAS,IL,1600 W MADISON
7000634953,2007-01-01 01:02:00,5908764,PAS,IL,1600 W CORTLAND ST
7000634993,2007-01-01 01:02:00,9863765,PAS,IL,11900 S HALSTED
7000634961,2007-01-01 01:03:00,9418703,PAS,IL,4800 W FULLERTON AVE
7000634988,2007-01-01 01:06:00,8375496,PAS,IL,1900 N ASHLAND AVE
7000634989,2007-01-01 01:08:00,5554172,PAS,IL,3100 S CALIFORNIA
7000635039,2007-01-01 01:08:00,5784986,PAS,IL,2400 W 35TH
7000634973,2007-01-01 01:09:00,9239879,PAS,IL,4800 N CICERO AVE
7000634972,2007-01-01 01:10:00,B753120,PAS,IL,11100 S HALSTED ST
7000634990,2007-01-01 01:14:00,J755238,PAS,IL,11100 S HALSTED ST
7000635037,2007-01-01 01:15:00,1418855,PAS,IL,4400 W NORTH
7000634957,2007-01-01 01:21:00,119G284,TMP,IL,2400 N KEDZIE AVE
7000634955,2007-01-01 01:25:00,9506906,PAS,IL,6000 N WESTERN AVE
